VOTER_ID	PIN	LASTNAME	ZIP
232960877	2CCB702B690AC1B8	Gerhold	20009
540687674	414A6CEC2B0F9511	Farrell	20009
303709118	C7C26531D43F8094	Leuschke	20009
285815058	1738AEFA04028CFE	Jast	20009
958730918	62389D273AD2E396	Collins	20009
874710330	E3ABC1991DE00BDD	Crist	20009
750649525	9319702AD377D7D1	Carter	20009
773548558	ACE7BEC22844B912	Bosco	20009
943967985	E7B802BE273B9144	Mertz	20009
196478339	11F3EEF3C62A2C29	Schneider	20009
724439475	2F9EE1944F1D708E	Pouros	20009
483170151	6818CE5D7E7F5551	Jacobi	20009
521044271	28F4FC032FF0B5E1	Goldner	20009
027030882	AF15F6B88720CAA9	Turner	20009
812582768	D1F4B983EF6BD18F	Thompson	20009
119350165	329D228B633748E2	Haag	20009
486926808	CDB53CB961BFC9D5	Kling	20009
034546724	DDFBBA1462CA0B82	Bergnaum	20009
684144876	D57AA69B10ACE72C	Bailey	20009
544712503	E1C9C223B7FE8C76	Kris	20009
604053602	01C727FD386969E5	Tromp	20009
706431925	5CCEDB4101A039C3	McDermott	20009
274558575	76FF4CBE0FB91171	Reinger	20009
669224446	DB70ABDEE61CF10F	Hegmann	20009
320818458	09C9AC292D27ECFA	Langworth	20009
874497593	08DFFD5BC2D230A0	Buckridge	20009
931283165	6FBF0801306743C7	Tromp	20009
773860770	F4F163730F990430	Beatty	20009
606352066	5AE0D9AE836C5437	Kreiger	20009
165441636	109360F401FD4E50	Koss	20009
265528553	80EECF7C518D7F40	Upton	20009
552682070	19D52FAB9EDA0A9C	Wiza	20009
407209660	EE3E5E90E096B9A3	Bogisich	20009
028765139	9BFB993C2CE2B2AF	Huels	20009
829934189	8FC57D321DB0148D	Stokes	20009
738198553	7C52F58CEF2D823B	Erdman	20009
140718785	70DCB3861832BC8A	Lockman	20009
291924694	49662D436CD6A2FD	Davis	20009
210199161	8FABBE9CB18F1FF9	Lehner	20009
778818617	08BCE6CAE8F76229	Ritchie	20009
015496195	8B2B86FBC878328B	Davis	20009
396577663	967D99159C5E8374	Greenfelder	20009
907226585	1E6CC7C72DC89FF3	Murphy	20009
712605006	BF6B21059BF881CA	Von	20009
911348819	4561C4097CD5CE72	McLaughlin	20009
140219936	6498939A2D2DA1A8	Lehner	20009
394625447	3A7DF127E323A547	Jaskolski	20009
692480123	EACF36B234B9D9F2	Haley	20009
285182912	1283E9F9846FC0D0	Purdy	20009
847556555	58CC6F7FEF1CE930	Beahan	20009
638378745	8D0A6599A2B34DFC	Murphy	20009
655710363	7C116CCEC6EA9737	Rempel	20009
380365497	A092603E54A6DC68	Rippin	20009
784796541	72A563E5ABD14ECB	Connelly	20009
605945000	44939E5DF18BE510	Tremblay	20009
819261342	B40F706DEC80036A	Lebsack	20009
601724900	08050C67520F784E	Blanda	20009
325143951	46105757AF3A7CF4	Hermann	20009
663253339	0F429F46A1A4B81A	Jones	20009
225534324	D73B36A9C9DC2843	Hand	20009
068921064	327DC0A89C034EC3	Armstrong	20009
117657274	E79D0A9386DF40B9	Daugherty	20009
277221279	B68822F3878845EF	Frami	20009
924216361	CFB86A049291A899	Armstrong	20009
398007433	23819BE0EC0E297E	Bartoletti	20009
412667592	388F764D859B5EC5	Reynolds	20009
679006949	B3C05A592A105BED	Bechtelar	20009
688609243	80ACB84600E2B436	Zemlak	20009
601586770	BA5DD101CC8C2A69	Zemlak	20009
538344584	7E6EA205DCA79155	Greenholt	20009
114974884	3FD431EE01C0B2C7	Heller	20009
330530266	D19FC7FA5A7FA4D6	Ratke	20009
582536390	BFF2F41F559BAAFC	Boyle	20009
164957066	DCE53F71F8B5C625	West	20009
501411949	CEE68B5B38CC5D8B	Dicki	20009
596929935	D2A0CC3916456D63	Nader	20009
986881362	4A4D31AB6725F440	Shields	20009
225110497	10B73BDEC029220E	Friesen	20009
764471590	A1ED6EBFE107D152	Collier	20009
719204853	341C556E44737E93	Boyle	20009
438653842	BBD642BD727606D8	Bogisich	20009
123760773	2E26EC15F6C674D9	Fisher	20009
616407053	EF1586B58A727630	Wunsch	20009
972137534	EDFCC056489C655B	Maggio	20009
954419340	CF39FCD95C6B3981	Casper	20009
998582584	AD0B4774B89A1961	Anderson	20009
150712544	58B9F776C07F1276	Sporer	20009
627127506	662A48F3A1701C62	Lueilwitz	20009
642055230	18757872166FCEA3	Halvorson	20009
448053451	E572D69C86F07EE3	Schmidt	20009
730893980	CD3892C4E4FAA415	Veum	20009
071653824	C4D4CC982C8E741C	Harvey	20009
377249838	8C6EEBB6D4C40CFA	Lynch	20009
533308995	4193652BE7343C68	Beahan	20009
934473826	99D35737D0FB1613	Waelchi	20009
574577014	4359DF23B8239712	Dietrich	20009
940862055	95F326C4C49817A8	Larson	20009
727549807	48BA40AA25C5A948	Keeling	20009
188587804	DD917C1A8E57E530	Kozey	20009
720077783	32338200F3A072CC	Kihn	20009
761259183	535431325A0232A6	Feest	20009
066109467	4E438388591D6F3F	Von	20009
912800551	504F569BC561341D	Torphy	20009
104614231	6C5B8EDA36006B50	Hauck	20009
835274404	FD747638834C2F54	Walsh	20009
569416344	3372BAC2AE76E0B6	Mayer	20009
359966237	F2B6BBBDD8EA575D	Purdy	20009
284076320	7AEF7EBE2D166347	Stoltenberg	20009
244361767	62C6D498F8B1DE61	Reilly	20009
