VOTERID,PIN_HASH,LASTNAME,FIRSTNAME,MIDDLENAME,SUFFIX,ADDRESS_ID,STATUS_ID,PARTY_ID,PRECINCT,WARD,SMD
607750116,750C64EB43AB3342,Casper,Russ,"","",1000,1,2,22,1,SMD 04-ANC 1B
111883547,322B99F35714A195,Collier,Julianne,"","",1001,1,2,22,1,SMD 04-ANC 1B
277743950,13ED59C80CB88BAF,Pagac,Francesco,"","",1002,1,2,22,1,SMD 04-ANC 1B
373277080,1AC80466444773EF,Wolff,Alexandre,"","",1003,1,2,22,1,SMD 04-ANC 1B
207375226,9C03040F2D9DEF60,Lockman,Kobe,"","",1004,1,2,22,1,SMD 04-ANC 1B
154341597,2D5B5F0B100E3272,Becker,Hollis,"","",1005,1,2,22,1,SMD 04-ANC 1B
115187264,D390CA9F0086639B,Goodwin,Robert,"","",1006,1,2,22,1,SMD 04-ANC 1B
207222233,3CE5AB0C06AF628E,Tillman,Ethyl,"","",1007,1,2,22,1,SMD 04-ANC 1B
238153781,45FCB2FD771A87AA,Farrell,Nikko,"","",1008,1,2,22,1,SMD 04-ANC 1B
100105985,47D290CE727A291E,Smitham,Christy,"","",1009,1,2,22,1,SMD 04-ANC 1B
274530049,81155A4765B646D3,Reichel,Reid,"","",1010,1,2,22,1,SMD 04-ANC 1B
172739033,1FBA267CC9171890,Langosh,Nasir,"","",1011,1,2,22,1,SMD 04-ANC 1B
672936169,1E2CEDA9DF87AF07,Prosacco,Elliot,"","",1012,1,2,22,1,SMD 04-ANC 1B
462332562,22C833856693974D,Fay,Delilah,"","",1013,1,2,22,1,SMD 04-ANC 1B
180338240,211F769CB34A7D1C,Lehner,Bailey,"","",1014,1,2,22,1,SMD 04-ANC 1B
437938749,7ABC9078873C3922,Leffler,Roderick,"","",1015,1,2,22,1,SMD 04-ANC 1B
186283506,223702241E779571,Funk,Nickolas,"","",1016,1,2,22,1,SMD 04-ANC 1B
116823484,861B56257234E11B,Bogisich,Akeem,"","",1017,1,2,22,1,SMD 04-ANC 1B
118611099,8828AB579A204808,Bogisich,Elian,"","",1018,1,2,22,1,SMD 04-ANC 1B
506749116,261FA20A6BFD527D,Heller,Wade,"","",1019,1,2,22,1,SMD 04-ANC 1B
499250089,36A7F7BA4F344C5D,Gusikowski,Mariah,"","",1020,1,2,22,1,SMD 04-ANC 1B
211138082,F25FE7DE63BA9EE7,Volkman,Lolita,"","",1021,1,2,22,1,SMD 04-ANC 1B
212839674,F453F56EF7FECE63,Rogahn,Merritt,"","",1022,1,2,22,1,SMD 04-ANC 1B
824394321,E70B644DF59FEDE5,Spencer,Kathryne,"","",1023,1,2,22,1,SMD 04-ANC 1B
216195645,F82E309D97C5B884,Barrows,Maximo,"","",1024,1,2,22,1,SMD 04-ANC 1B
217745123,F9F58A684BB42392,Nitzsche,Holly,"","",1025,1,2,22,1,SMD 04-ANC 1B
354132282,410B384B358DDC02,Hammes,Murphy,"","",1026,1,2,22,1,SMD 04-ANC 1B
220941564,FDA0E3EBBF18F8AF,Schmeler,Brant,"","",1027,1,2,22,1,SMD 04-ANC 1B
138290835,3E0302642ECD9327,Parker,Richmond,"","",1028,1,2,22,1,SMD 04-ANC 1B
224779354,10208B71B18D9170,Kertzmann,Tate,"","",1029,1,2,22,1,SMD 04-ANC 1B
506197505,5CF94AD57E33C203,Schumm,Wilber,"","",1030,1,2,22,1,SMD 04-ANC 1B
315572053,16A424AA4D104266,Ruecker,Yazmin,"","",1031,1,2,22,1,SMD 04-ANC 1B
755789386,52BDBAEAD939968B,Balistreri,Tommie,"","",1032,1,2,22,1,SMD 04-ANC 1B
318746248,16DE71A7E40DBE29,Kuhn,Rosemarie,"","",1033,1,2,22,1,SMD 04-ANC 1B
123023327,158C8E897D41CF80,Cummings,Darlene,"","",1034,1,2,22,1,SMD 04-ANC 1B
321724790,171526B1A75AFE0C,Harber,Domingo,"","",1035,1,2,22,1,SMD 04-ANC 1B
353418575,6CE7CF49F6A8CB62,Moen,Rene,"","",1036,1,2,22,1,SMD 04-ANC 1B
136410636,669FBBA4832600A2,Koch,Edmund,"","",1037,1,2,22,1,SMD 04-ANC 1B
527733149,60EDE4B8B605E210,Treutel,Tomas,"","",1038,1,2,22,1,SMD 04-ANC 1B
203780241,5B60D310A2712B0B,Schinner,Maxine,"","",1039,1,2,22,1,SMD 04-ANC 1B
160600251,1C21907A34BF3E29,Runolfsson,Rhoda,"","",1040,1,2,22,1,SMD 04-ANC 1B
676346746,7C39ABD30EAF3BCD,Grant,Makenna,"","",1041,1,2,22,1,SMD 04-ANC 1B
109441672,202979F124DD6D9B,Rempel,Alysa,"","",1042,1,2,22,1,SMD 04-ANC 1B
422396598,1E4E33429A11F292,Kunde,Bernardo,"","",1043,1,2,22,1,SMD 04-ANC 1B
262909637,75E48BD44718FDFE,Grady,Adalberto,"","",1044,1,2,22,1,SMD 04-ANC 1B
110851273,209385E044B98B42,Wisoky,Oscar,"","",1045,1,2,22,1,SMD 04-ANC 1B
111267111,20B2CE9C65658284,Rowe,Lucious,"","",1046,1,2,22,1,SMD 04-ANC 1B
164941365,1CE43A0463B2228D,Wyman,Alessandra,"","",1047,1,2,22,1,SMD 04-ANC 1B
430820833,1EE8EDD276699678,Renner,Clemens,"","",1048,1,2,22,1,SMD 04-ANC 1B
396249205,69E8788BBEAA3937,Balistreri,Demetris,"","",1049,1,2,22,1,SMD 04-ANC 1B
135695857,27E09F273C445815,Zboncak,Hope,"","",1050,1,2,22,1,SMD 04-ANC 1B
124670980,887C40261C7888FA,Konopelski,August,"","",1051,1,2,22,1,SMD 04-ANC 1B
525083408,25AC425287DCD9F0,Abshire,Luella,"","",1052,1,2,22,1,SMD 04-ANC 1B
356359579,2AE52D67D4CD3A97,Bogan,Elva,"","",1053,1,2,22,1,SMD 04-ANC 1B
528432463,25E9C580EAF8A6C6,Hagenes,Laurie,"","",1054,1,2,22,1,SMD 04-ANC 1B
855333706,9D1998FB13468674,Frami,Soledad,"","",1055,1,2,22,1,SMD 04-ANC 1B
785437808,2196B196A8512C93,McLaughlin,Clemmie,"","",1056,1,2,22,1,SMD 04-ANC 1B
